Time,Evap Time (s),Mass (kg),Major Axis (m),Eff Diameter (m),Perimeter (m),Snowflake Area (m^2),Rectangle Area (m^2),Water Droplet Area (m^2),Spherical Density (kg/m^3),Heat Flux Density (kg/m^3),Heat Flux Volume (m^3),Spherical Volume (m^3),Delta Temp Max,Delta Temp Mean,Complexity,SDI,PBP SWE (mm),FBF SWE (mm),PBP SWE Accumulation (mm),FBF SWE Accumulation (mm),PBP Snow (mm),FBF Snow (mm),PBP Snow Accumulation (mm),FBF Snow Accumulation (mm),SWE factor,Delta Temp Range,Area Range,Delta Temp Flag,Area Flag,Missing Data
24-Mar-2026 09:51:59.933,0.333333333333333,3.0403165e-08,0.00146646968374165,0.00124105038023342,0.00299593,1.209675e-06,1.209675e-06,1.17770539389313e-07,30.4687386155015,101.613050075873,2.9920531838478e-10,9.97847839507601e-10,89.2745098039216,74.9450980392157,1,10.2714567350429,3.20578231292517e-06,3.83763144391493e-06,0.00130953628673692,0.00156764157399807,3.15489231996429e-05,3.77671120102137e-05,0.0218931693964715,0.0262082409476491,1.19709670505145,28.4313725490196,8.0645e-07,0,0,0
24-Mar-2026 09:52:00.066,0.133333333333333,2.18508418137255e-08,0.00157851947024695,0.00129172619007821,0.0032375475,1.31048125e-06,1.6129e-06,9.44937131844762e-08,19.4205127547358,185.876408110718,1.17555756730085e-10,1.12514237341118e-09,70.5098039215686,67.9509803921569,1.23076923076923,13.8684490833967,2.30400493530746e-06,2.75811671647883e-06,0.00131184029167222,0.00157039969071455,1.23953596840276e-05,1.4838444235677e-05,0.0219055647561555,0.0262230793918848,1.19709670505145,5.11764705882354,2.016125e-07,0,0,0
24-Mar-2026 09:52:00.066,0.466666666666667,3.77326358986928e-08,0.00183308710467706,0.00138753650685194,0.00361823,1.51209375e-06,1.51209375e-06,1.36009391127841e-07,27.0575085295924,90.7025011368804,4.16004359590371e-10,1.39453475021269e-09,93.8235294117647,59.5434173669468,1,11.11756870214,3.97861922546796e-06,4.76279196546204e-06,0.00131581891089769,0.00157516248268001,4.38644929919162e-05,5.25100400293752e-05,0.0219494292491474,0.0262755894319142,1.19709670505145,65.9607843137255,1.31048125e-06,0,0,0
24-Mar-2026 09:52:00.133,0.333333333333333,5.80090553921569e-08,0.00216104122691038,0.00189573576955779,0.005075555,2.822575e-06,3.0241875e-06,1.81170713846581e-07,16.3104631830945,196.259600614439,2.9557308386721e-10,3.5565547551269e-09,42.078431372549,31.7294117647059,1.07142857142857,15.5796427583225,6.11661331199146e-06,7.3221776418588e-06,0.00132193552420968,0.00158248466032187,3.11659317192223e-05,3.73086341709394e-05,0.0219805951808666,0.0263128980660851,1.19709670505145,14.2156862745098,3.0241875e-07,0,0,0
24-Mar-2026 09:52:00.133,0.2,2.27297668954248e-08,0.00148776826103932,0.00124105038023342,0.00299593,1.209675e-06,1.209675e-06,9.70109567461436e-08,22.7787905084217,164.678728070175,1.38024911667637e-10,9.97847839507601e-10,65.3921568627451,57.6209150326797,1,12.4694677856384,2.39668089458005e-06,2.86905880196154e-06,0.00132433220510426,0.00158535371912383,1.45536762559809e-05,1.74221578924203e-05,0.0219951488571226,0.0263303202239776,1.19709670505145,18.7647058823529,4.03225e-07,0,0,0
24-Mar-2026 09:52:00.266,0.733333333333333,6.40851026960784e-08,0.00146646968374165,0.00124105038023342,0.00299593,1.209675e-06,1.209675e-06,1.93610477577187e-07,64.2233215914983,126.024553571429,5.08512832459716e-10,9.97847839507601e-10,98.3725490196078,57.8966131907308,1,6.24798314191305,6.75728624783247e-06,8.0891251023697e-06,0.0013310894913521,0.0015934428442262,5.36188072588771e-05,6.41868974983904e-05,0.0220487676643815,0.0263945071214759,1.19709670505145,65.3921568627451,1.0080625e-06,0,0,0
24-Mar-2026 09:52:00.266,1.6,1.88365109248366e-07,0.00276193734662236,0.00255849090220767,0.00723138,5.14111875e-06,7.25805e-06,3.97274882336461e-07,21.5453099090602,60.1092919926591,3.133710330033e-09,8.74274308624147e-09,98.3725490196078,38.4771241830065,1.41176470588235,12.9409609783633,1.98616668889778e-05,2.37763359896248e-05,0.00135095115824107,0.00161721918021583,0.000330425899732831,0.000395551755833831,0.0223791935641143,0.0267900588773098,1.19709670505145,84.156862745098,4.93950625e-06,0,0,0
24-Mar-2026 09:52:00.266,0.6,6.5881166993464e-08,0.00245696841201407,0.00226583762751402,0.006241415,4.03225e-06,4.93950625e-06,1.9721123622263e-07,10.8487285881858,94.4273318872017,6.97691713583123e-10,6.07270856284564e-09,98.3725490196078,29.1263616557734,1.225,20.4463502041437,6.94666755591125e-06,8.31583284226914e-06,0.00135789782579699,0.0016255350130581,7.35662801974475e-05,8.80659516272559e-05,0.0224527598443118,0.026878124828937,1.19709670505145,89.2745098039216,3.8306375e-06,0,0,0
24-Mar-2026 09:52:00.333,0.266666666666667,3.8687989248366e-08,0.0019297835911488,0.00164175533529989,0.00427736,2.11693125e-06,2.52015625e-06,1.3829556050149e-07,16.7476842392678,137.546946462201,2.81271160454281e-10,2.31005007591768e-09,84.156862745098,50.3235294117647,1.19047619047619,15.3072972286568,4.07935396380775e-06,4.88338118881281e-06,0.00136197717976079,0.00163041839424691,2.96579027650664e-05,3.55033776787972e-05,0.0224824177470768,0.0269136282066158,1.19709670505145,56.2941176470588,1.209675e-06,0,0,0
24-Mar-2026 09:52:00.399,0.533333333333333,5.30947177614379e-08,0.00236862573758603,0.0022084653374109,0.006005195,3.8306375e-06,4.93950625e-06,1.70788389871352e-07,9.44242337744387,93.4906062624917,5.67915001132466e-10,5.62299694041161e-09,65.3921568627451,28.0759803921569,1.28947368421053,22.4291446443489,5.59843381797163e-06,6.70186667694243e-06,0.00136757561357877,0.00163712026092385,5.98823137615882e-05,7.16849204948542e-05,0.0225423000608384,0.0269853131271107,1.19709670505145,46.6274509803922,3.32660625e-06,0,0,0
